transaction_id,customer_id,product_id,product_name,category,quantity_sold,unit_price,day,month,year,store,store_location,category,supplier_id,customer_level,promotion_applied
100000001,2824,505843,Fridge,Electronics,3,188.46,31,3,2024,miamifl.com,Online,web-246,web-474,Silver,TRUE
100000002,1409,505135,TV,Electronics,4,1912.04,28,7,2024,dallastx.com,Online,web-43,web-135,Gold,TRUE
100000003,5506,505391,Fridge,Electronics,4,1377.75,10,6,2024,losangelesca.com,Online,web-411,web-475,Platinum,FALSE
100000004,5012,505710,Smartphone,Electronics,5,182.31,15,8,2024,miamifl.com,Online,web-452,web-118,Silver,TRUE
100000005,4657,505116,Laptop,Electronics,3,499.28,13,9,2024,chicagoil.com,Online,web-412,web-155,Bronze,FALSE
100000006,3286,505630,Camera,Electronics,4,1465.38,6,7,2024,newyorkny.com,Online,web-196,web-169,Bronze,TRUE
100000007,2679,505238,Laptop,Appliances,3,1904.7,17,3,2024,dallastx.com,Online,web-24,web-250,Platinum,FALSE
100000008,9935,505409,Tablet,Electronics,4,875.16,22,7,2024,losangelesca.com,Online,web-125,web-248,Silver,FALSE
100000009,2424,505106,Camera,Electronics,4,1627.48,30,3,2024,newyorkny.com,Online,web-103,web-368,Platinum,FALSE
100000010,7912,505407,Laptop,Appliances,5,666.27,17,6,2024,chicagoil.com,Online,web-424,web-494,Bronze,TRUE
100000011,1520,505327,Tablet,Electronics,3,155.24,3,4,2024,losangelesca.com,Online,web-377,web-104,Platinum,FALSE
100000012,1488,505319,Smartphone,Appliances,3,1076.79,19,6,2024,miamifl.com,Online,web-411,web-290,Silver,TRUE
100000013,2535,505976,Headphones,Appliances,2,1165.56,1,3,2024,newyorkny.com,Online,web-346,web-300,Bronze,FALSE
100000014,4582,505422,Washing Machine,Appliances,3,778.17,24,6,2024,miamifl.com,Online,web-118,web-410,Gold,FALSE
100000015,4811,505122,TV,Appliances,2,399.52,11,7,2024,losangelesca.com,Online,web-31,web-427,Bronze,FALSE
100000016,9279,505890,Camera,Appliances,4,639.33,2,5,2024,dallastx.com,Online,web-258,web-252,Silver,TRUE
100000017,1434,505941,Laptop,Appliances,3,457.92,1,3,2024,miamifl.com,Online,web-417,web-165,Silver,FALSE
100000018,4257,505806,Laptop,Electronics,5,1201.92,26,6,2024,newyorkny.com,Online,web-191,web-153,Platinum,FALSE
100000019,9928,505942,TV,Electronics,4,649.8,2,6,2024,miamifl.com,Online,web-149,web-157,Bronze,FALSE
100000020,7873,505382,TV,Appliances,3,1155.98,21,7,2024,miamifl.com,Online,web-144,web-478,Platinum,TRUE
