transaction_id,customer_id,product_id,product_name,category,quantity_sold,unit_price,transaction_date,store_id,store,store_location,category,reorder_point,reorder_quantity,supplier_id,customer_loyalty_level,promotion_applied
100000001,2824,505843,Fridge,Electronics,3,188.46,3/31/2024 21:46,103,miamifl.com,Online,web-246,116,170,web-474,Silver,TRUE
100000002,1409,505135,TV,Electronics,4,1912.04,7/28/2024 12:45,105,dallastx.com,Online,web-43,70,212,web-135,Gold,TRUE
100000003,5506,505391,Fridge,Electronics,4,1377.75,6/10/2024 04:55,101,losangelesca.com,Online,web-411,94,252,web-475,Platinum,FALSE
100000004,5012,505710,Smartphone,Electronics,5,182.31,8/15/2024 1:03,105,miamifl.com,Online,web-452,87,112,web-118,Silver,TRUE
100000005,4657,505116,Laptop,Electronics,3,499.28,9/13/2024 0:45,106,chicagoil.com,Online,web-412,99,177,web-155,Bronze,FALSE
100000006,3286,505630,Camera,Electronics,4,1465.38,7/6/2024 07:24,101,newyorkny.com,Online,web-196,80,210,web-169,Bronze,TRUE
100000007,2679,505238,Laptop,Appliances,3,1904.7,3/17/2024 22:33,103,dallastx.com,Online,web-24,52,287,web-250,Platinum,FALSE
100000008,9935,505409,Tablet,Electronics,4,875.16,7/22/2024 13:57,116,losangelesca.com,Online,web-125,92,178,web-248,Silver,FALSE
100000009,2424,505106,Camera,Electronics,4,1627.48,3/30/2024 4:10,112,newyorkny.com,Online,web-103,129,172,web-368,Platinum,FALSE
100000010,7912,505407,Laptop,Appliances,5,666.27,6/17/2024 16:59,110,chicagoil.com,Online,web-424,88,253,web-494,Bronze,TRUE
100000011,1520,505327,Tablet,Electronics,3,155.24,4/3/2024 11:37,112,losangelesca.com,Online,web-377,135,167,web-104,Platinum,FALSE
100000012,1488,505319,Smartphone,Appliances,3,1076.79,6/19/2024 10:41,109,miamifl.com,Online,web-411,60,115,web-290,Silver,TRUE
100000013,2535,505976,Headphones,Appliances,2,1165.56,3/1/2024 04:08,103,newyorkny.com,Online,web-346,144,297,web-300,Bronze,FALSE
100000014,4582,505422,Washing Machine,Appliances,3,778.17,6/24/2024 17:34,113,miamifl.com,Online,web-118,94,188,web-410,Gold,FALSE
100000015,4811,505122,TV,Appliances,2,399.52,7/11/2024 11:58,109,losangelesca.com,Online,web-31,104,274,web-427,Bronze,FALSE
100000016,9279,505890,Camera,Appliances,4,639.33,5/2/2024 19:28,117,dallastx.com,Online,web-258,113,239,web-252,Silver,TRUE
100000017,1434,505941,Laptop,Appliances,3,457.92,3/1/2024 14:26,116,miamifl.com,Online,web-417,65,116,web-165,Silver,FALSE
100000018,4257,505806,Laptop,Electronics,5,1201.92,6/26/2024 4:41,120,newyorkny.com,Online,web-191,58,184,web-153,Platinum,FALSE
100000019,9928,505942,TV,Electronics,4,649.8,6/2/2024 20:20,105,miamifl.com,Online,web-149,108,125,web-157,Bronze,FALSE
100000020,7873,505382,TV,Appliances,3,1155.98,7/21/2024 20:20,103,miamifl.com,Online,web-144,106,254,web-478,Platinum,TRUE
100000021,4611,505666,Headphones,Electronics,4,160.4,5/18/2024 14:04,102,losangelesca.com,Online,web-44,90,294,web-360,Silver,FALSE
100000022,8359,505623,Smartphone,Electronics,4,781.98,2/6/2024 09:06,109,dallastx.com,Online,web-270,76,157,web-346,Gold,FALSE
100000023,5557,505669,TV,Appliances,5,565.22,3/3/2024 11:00,113,chicagoil.com,Online,web-332,124,257,web-257,Bronze,FALSE
100000024,1106,505684,Headphones,Electronics,5,1503.41,1/30/2024 9:19,114,chicagoil.com,Online,web-154,120,165,web-466,Gold,FALSE
100000025,3615,505685,Smartphone,Electronics,4,466.9,8/3/2024 04:57,105,dallastx.com,Online,web-127,148,139,web-400,Gold,TRUE
100000026,7924,505258,Camera,Electronics,1,1376.02,7/17/2024 15:17,115,dallastx.com,Online,web-214,142,226,web-434,Platinum,TRUE
100000027,6574,505196,TV,Appliances,4,673.75,4/15/2024 1:23,111,dallastx.com,Online,web-334,150,243,web-110,Gold,TRUE
100000028,5552,505138,Smartphone,Appliances,2,1880.99,7/27/2024 3:42,101,miamifl.com,Online,web-411,106,244,web-113,Gold,TRUE
100000029,3547,505571,TV,Electronics,3,1839.91,7/15/2024 17:29,104,miamifl.com,Online,web-442,71,123,web-243,Bronze,TRUE
100000030,4527,505464,Laptop,Electronics,2,1187.87,2/6/2024 06:57,112,newyorkny.com,Online,web-220,85,280,web-231,Bronze,TRUE
